Brand,Year,Exterior color,Interior color,Drivetrain,Fuel type,Capacity,Configuration,Valves,Accidents or damage,1-owner vehicle,Personal use only,MPG_min,MPG_max,MPG_mean,Mileage,Usage Intensity,Ownership History,Engine Power,Fuel Efficiency,Origin,Gallons Per Year,Price
Chevrolet,1995,Other,Silver/Gray,Rear-wheel Drive,Gasoline,3.4,V6,12.0,At least 1 accident or damage reported,Yes,No,19.0,28.0,23.5,29057.0,1001.9655172413793,Potential Risk,40.8,6.911764705882353,American,42.636830520909754,11895.0
Audi,2020,Black,Black,All-wheel Drive,Hybrid,2.0,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,32905.0,8226.25,Good,32.0,11.958081395227762,European,343.9619504213668,41990.0
Toyota,2016,Red,Black,Rear-wheel Drive,Gasoline,4.0,V6,24.0,At least 1 accident or damage reported,Yes,Yes,17.0,22.0,19.5,140388.0,17548.5,Potential Risk,96.0,4.875,Asian,899.9230769230769,22487.0
BMW,2018,Silver/Gray,Black,Rear-wheel Drive,Diesel,2.0,I4,16.0,At least 1 accident or damage reported,Yes,Yes,31.0,43.0,37.0,35997.0,5999.5,Potential Risk,32.0,18.5,European,162.14864864864865,24741.0
Ford,2021,White,Black,Rear-wheel Drive,Gasoline,5.2,V8,32.0,None reported,Yes,Yes,12.0,18.0,15.0,3808.0,1269.3333333333333,Good,166.4,2.8846153846153846,American,84.62222222222222,91990.0
Ford,2018,Silver/Gray,Black,Four-wheel Drive,Gasoline,2.7,V6,24.0,At least 1 accident or damage reported,Yes,Yes,18.0,23.0,20.5,137908.0,22984.666666666668,Potential Risk,64.80000000000001,7.592592592592592,American,1121.2032520325204,27980.0
INFINITI,2019,Other,Other,All-wheel Drive,Gasoline,5.6,V8,32.0,None reported,Yes,Yes,13.0,19.0,16.0,80728.0,16145.6,Good,179.2,2.857142857142857,Asian,1009.1,34579.0
Nissan,2019,Black,Other,Four-wheel Drive,Gasoline,4.0,V6,24.0,None reported,No,No,15.0,21.0,18.0,68968.0,13793.6,Potential Risk,96.0,4.5,Asian,766.3111111111111,23500.0
Chevrolet,2023,White,Red,Rear-wheel Drive,Gasoline,6.2,V8,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,150.0,150.0,Good,99.2,3.857445611363794,American,6.271909140034039,119996.0
Mercedes-Benz,2018,Black,Brown,Rear-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,Yes,20.0,28.0,24.0,53158.0,8859.666666666666,Potential Risk,72.0,8.0,European,369.15277777777777,51500.0
Ford,2016,Black,Black,Four-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,15.0,20.0,17.5,95825.0,11978.125,Potential Risk,84.0,5.0,American,684.4642857142857,25491.0
Jeep,2014,Black,Black,Four-wheel Drive,Gasoline,3.2,V6,24.0,At least 1 accident or damage reported,Yes,No,19.0,25.0,22.0,102778.0,10277.8,Potential Risk,76.80000000000001,6.875,American,467.1727272727273,15999.0
Kia,2022,White,Black,All-wheel Drive,Gasoline,2.5,I4,16.0,None reported,Yes,Yes,21.0,29.0,25.0,29727.0,14863.5,Good,40.0,10.0,Asian,594.54,34555.0
Audi,2022,Black,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,No,21.0,28.0,24.5,10078.0,5039.0,Good,32.0,12.25,European,205.6734693877551,45296.0
